Currency,Date,Rate
AED,2021-04-01,0.272294
ARS,2021-04-01,0.0111335
AUD,2021-04-01,0.7747493000000001
BRL,2021-04-01,0.178593
CAD,2021-04-01,0.787449
CHF,2021-04-01,1.098969
CZK,2021-04-01,0.0462019
DKK,2021-04-01,0.162324
ETB,2021-04-01,0.0247979
EUR,2021-04-01,1.2078
GBP,2021-04-01,1.3963
GHS,2021-04-01,0.1737321
ILS,2021-04-01,0.303919
INR,2021-04-01,0.0136417
JPY,2021-04-01,0.009376
KES,2021-04-01,0.009101
,,0.11170899999999999
MUR,2021-04-01,0.025115799999999997
MWK,2021-04-01,0.001284
MXN,2021-04-01,0.0481603
MYR,2021-04-01,0.24663739999999998
NGN,2021-04-01,0.002631578947
NOK,2021-04-01,0.115924
NZD,2021-04-01,0.726929
PEN,2021-04-01,0.27369
PLN,2021-04-01,0.26719
RUB,2021-04-01,0.0134902
RWF,2021-04-01,0.0010074
SAR,2021-04-01,0.266667
SEK,2021-04-01,0.11865139999999999
SGD,2021-04-01,0.75159403
sll,2021-04-01,9.785e-05
THB,2021-04-01,0.033048
TZS,2021-04-01,0.00043114
UGX,2021-04-01,0.00027275
USD,2021-04-01,1.0
XAF,2021-04-01,0.0018390000000000001
XOF,2021-04-01,0.0018390000000000001
ZAR,2021-04-01,0.06629199999999999
ZMK,2021-04-01,0.045818300000000006
ZMW,2021-04-01,0.045818300000000006
AED,2021-04-02,0.272294
ARS,2021-04-02,0.0109096
AUD,2021-04-02,0.761883
BRL,2021-04-02,0.17515799999999998
CAD,2021-04-02,0.796491
CHF,2021-04-02,1.06226
CZK,2021-04-02,0.0451431
DKK,2021-04-02,0.15836
ETB,2021-04-02,0.0241551
EUR,2021-04-02,1.17604
GBP,2021-04-02,1.3830799999999999
GHS,2021-04-02,0.17308199999999999
ILS,2021-04-02,0.30065
INR,2021-04-02,0.013644499999999999
JPY,2021-04-02,0.00904761
KES,2021-04-02,0.00920228
MAD,2021-04-02,0.11055599999999999
MUR,2021-04-02,0.024681400000000003
MWK,2021-04-02,0.00127273
MXN,2021-04-02,0.049278800000000005
MYR,2021-04-02,0.241563
NGN,2021-04-02,0.002631578947
NOK,2021-04-02,0.11726500000000001
NZD,2021-04-02,0.702885
PEN,2021-04-02,0.26773
PLN,2021-04-02,0.25695500000000004
RUB,2021-04-02,0.0131475
RWF,2021-04-02,0.00102011
SAR,2021-04-02,0.266667
SEK,2021-04-02,0.11471700000000001
SGD,2021-04-02,0.744111
sll,2021-04-02,9.781469999999999e-05
THB,2021-04-02,0.0319743
TZS,2021-04-02,0.000431175
UGX,2021-04-02,0.000273884
USD,2021-04-02,1.0
XAF,2021-04-02,0.00179568
XOF,2021-04-02,0.00179568
ZAR,2021-04-02,0.0683154
ZMK,2021-04-02,0.045412
ZMW,2021-04-02,0.045412
AED,2021-04-03,0.272294
ARS,2021-04-03,0.0109096
AUD,2021-04-03,0.761883
BRL,2021-04-03,0.17515799999999998
CAD,2021-04-03,0.796491
CHF,2021-04-03,1.06226
CZK,2021-04-03,0.0451431
DKK,2021-04-03,0.15836
ETB,2021-04-03,0.0241551
EUR,2021-04-03,1.17604
GBP,2021-04-03,1.3830799999999999
GHS,2021-04-03,0.17308199999999999
ILS,2021-04-03,0.30065
INR,2021-04-03,0.013644499999999999
JPY,2021-04-03,0.00904761
KES,2021-04-03,0.00920228
MAD,2021-04-03,0.11055599999999999
MUR,2021-04-03,0.024681400000000003
MWK,2021-04-03,0.00127273
MXN,2021-04-03,0.049278800000000005
MYR,2021-04-03,0.241563
NGN,2021-04-03,0.002631578947
NOK,2021-04-03,0.11726500000000001
NZD,2021-04-03,0.702885
PEN,2021-04-03,0.26773
PLN,2021-04-03,0.25695500000000004
RUB,2021-04-03,0.0131475
RWF,2021-04-03,0.00102011
SAR,2021-04-03,0.266667
SEK,2021-04-03,0.11471700000000001
SGD,2021-04-03,0.744111
sll,2021-04-03,9.781469999999999e-05
THB,2021-04-03,0.0319743
TZS,2021-04-03,0.000431175
UGX,2021-04-03,0.000273884
USD,2021-04-03,1.0
XAF,2021-04-03,0.00179568
XOF,2021-04-03,0.00179568
ZAR,2021-04-03,0.0683154
ZMK,2021-04-03,0.045412
ZMW,2021-04-03,0.045412
AED,2021-04-04,0.272294
ARS,2021-04-04,0.0109096
AUD,2021-04-04,0.761883
BRL,2021-04-04,0.17515799999999998
CAD,2021-04-04,0.796491
CHF,2021-04-04,1.06226
CZK,2021-04-04,0.0451431
DKK,2021-04-04,0.15836
ETB,2021-04-04,0.0241551
EUR,2021-04-04,1.17604
GBP,2021-04-04,1.3830799999999999
GHS,2021-04-04,0.17308199999999999
ILS,2021-04-04,0.30065
INR,2021-04-04,0.013644499999999999
JPY,2021-04-04,0.00904761
KES,2021-04-04,0.00920228
MAD,2021-04-04,0.11055599999999999
MUR,2021-04-04,0.024681400000000003
MWK,2021-04-04,0.00127273
MXN,2021-04-04,0.049278800000000005
MYR,2021-04-04,0.241563
NGN,2021-04-04,0.002631578947
NOK,2021-04-04,0.11726500000000001
NZD,2021-04-04,0.702885
PEN,2021-04-04,0.26773
PLN,2021-04-04,0.25695500000000004
RUB,2021-04-04,0.0131475
RWF,2021-04-04,0.00102011
SAR,2021-04-04,0.266667
SEK,2021-04-04,0.11471700000000001
SGD,2021-04-04,0.744111
sll,2021-04-04,9.781469999999999e-05
THB,2021-04-04,0.0319743
TZS,2021-04-04,0.000431175
UGX,2021-04-04,0.000273884
USD,2021-04-04,1.0
XAF,2021-04-04,0.00179568
XOF,2021-04-04,0.00179568
ZAR,2021-04-04,0.0683154
ZMK,2021-04-04,0.045412
ZMW,2021-04-04,0.045412
AED,2021-04-05,0.272294
ARS,2021-04-05,0.010911
AUD,2021-04-05,0.76186
BRL,2021-04-05,0.17517
CAD,2021-04-05,0.79613
CHF,2021-04-05,1.06071
CZK,2021-04-05,0.0450321
DKK,2021-04-05,0.157931
ETB,2021-04-05,0.024130000000000002
EUR,2021-04-05,1.17477
GBP,2021-04-05,1.3850200000000001
GHS,2021-04-05,0.17357999999999998
ILS,2021-04-05,0.30091799999999996
INR,2021-04-05,0.0136315
JPY,2021-04-05,0.009044
KES,2021-04-05,0.00919884
MAD,2021-04-05,0.11041300000000001
MUR,2021-04-05,0.02474
MWK,2021-04-05,0.00127269
MXN,2021-04-05,0.049231199999999996
MYR,2021-04-05,0.241445
NGN,2021-04-05,0.002631578947
NOK,2021-04-05,0.11704400000000001
NZD,2021-04-05,0.702971
PEN,2021-04-05,0.267311
PLN,2021-04-05,0.255017
RUB,2021-04-05,0.013054
RWF,2021-04-05,0.00102004
SAR,2021-04-05,0.266667
SEK,2021-04-05,0.1143
SGD,2021-04-05,0.743121
sll,2021-04-05,9.79975e-05
THB,2021-04-05,0.031851599999999994
TZS,2021-04-05,0.000431187
UGX,2021-04-05,0.000273699
USD,2021-04-05,1.0
XAF,2021-04-05,0.00179092
XOF,2021-04-05,0.00179092
ZAR,2021-04-05,0.0682317
ZMK,2021-04-05,0.0453793
ZMW,2021-04-05,0.0453793
AED,2021-04-06,0.272294
ARS,2021-04-06,0.0108501
AUD,2021-04-06,0.763138
BRL,2021-04-06,0.176543
CAD,2021-04-06,0.797147
CHF,2021-04-06,1.06588
CZK,2021-04-06,0.0453376
DKK,2021-04-06,0.15884700000000002
ETB,2021-04-06,0.0240954
EUR,2021-04-06,1.1819
GBP,2021-04-06,1.3874
GHS,2021-04-06,0.174046
ILS,2021-04-06,0.302227
INR,2021-04-06,0.0136411
JPY,2021-04-06,0.00906514
KES,2021-04-06,0.00919779
MAD,2021-04-06,0.110649
MUR,2021-04-06,0.0246455
MWK,2021-04-06,0.00127272
MXN,2021-04-06,0.0491443
MYR,2021-04-06,0.24210900000000002
NGN,2021-04-06,0.002631578947
NOK,2021-04-06,0.11751900000000001
NZD,2021-04-06,0.7034
PEN,2021-04-06,0.271175
PLN,2021-04-06,0.257121
RUB,2021-04-06,0.0130895
RWF,2021-04-06,0.00100695
SAR,2021-04-06,0.266667
SEK,2021-04-06,0.114915
SGD,2021-04-06,0.746129
sll,2021-04-06,9.76191e-05
THB,2021-04-06,0.0318981
TZS,2021-04-06,0.00043122900000000004
